scan_id,step,angle_deg,distance_cm
368,73633,59.4,97.21
368,73634,61.2,97.53
368,73635,63.0,97.82
368,73636,64.8,98.1
368,73637,66.6,98.36
368,73638,68.4,98.6
368,73639,70.2,98.82
368,73640,72.0,99.02
368,73641,73.8,99.21
368,73642,75.6,99.37
368,73643,77.4,99.52
368,73644,79.2,99.65
368,73645,81.0,99.75
368,73646,82.8,99.84
368,73647,84.6,99.91
368,73648,86.4,99.96
368,73649,88.2,99.99
368,73650,90.0,100.0
368,73651,91.8,99.99
368,73652,93.6,99.96
368,73653,95.4,99.91
368,73654,97.2,99.84
368,73655,99.0,99.75
368,73656,100.8,99.65
368,73657,102.6,99.52
368,73658,104.4,99.37
368,73659,106.2,99.21
368,73660,108.0,99.02
368,73661,109.8,98.82
368,73662,111.6,98.6
368,73663,113.4,98.36
368,73664,115.2,98.1
368,73665,117.0,97.82
368,73666,118.8,97.53
368,73667,120.6,97.21
368,73668,122.4,96.89
368,73669,124.2,96.54
368,73670,126.0,96.18
368,73671,127.8,95.8
368,73672,129.6,95.41
368,73673,131.4,95.0
368,73674,133.2,94.58
368,73675,135.0,94.14
368,73676,136.8,93.69
368,73677,138.6,93.23
368,73678,140.4,92.75
368,73679,142.2,92.26
368,73680,144.0,91.76
368,73681,145.8,91.24
368,73682,147.6,90.72
368,73683,149.4,90.18
368,73684,151.2,89.64
368,73685,153.0,89.08
368,73686,154.8,88.52
368,73687,156.6,87.94
368,73688,158.4,87.36
368,73689,160.2,86.77
368,73690,162.0,86.18
368,73691,163.8,85.58
368,73692,165.6,84.97
368,73693,167.4,84.36
368,73694,169.2,83.75
368,73695,171.0,83.13
368,73696,172.8,82.51
368,73697,174.6,81.88
368,73698,176.4,81.26
368,73699,178.2,80.63
368,73700,180.0,80.0
368,73701,181.8,79.37
368,73702,183.6,78.74
368,73703,185.4,78.12
368,73704,187.2,77.49
368,73705,189.0,76.87
368,73706,190.8,76.25
368,73707,192.6,75.64
368,73708,194.4,75.03
368,73709,196.2,74.42
368,73710,198.0,73.82
368,73711,199.8,73.23
368,73712,201.6,72.64
368,73713,203.4,72.06
368,73714,205.2,71.48
368,73715,207.0,70.92
368,73716,208.8,70.36
368,73717,210.6,69.82
368,73718,212.4,69.28
368,73719,214.2,68.76
368,73720,216.0,68.24
368,73721,217.8,67.74
368,73722,219.6,67.25
368,73723,221.4,66.77
368,73724,223.2,66.31
368,73725,225.0,65.86
368,73726,226.8,65.42
368,73727,228.6,65.0
368,73728,230.4,64.59
368,73729,232.2,64.2
368,73730,234.0,63.82
368,73731,235.8,63.46
368,73732,237.6,63.11
368,73733,239.4,62.79
368,73734,241.2,62.47
368,73735,243.0,62.18
368,73736,244.8,61.9
368,73737,246.6,61.64
368,73738,248.4,61.4
368,73739,250.2,61.18
368,73740,252.0,60.98
368,73741,253.8,60.79
368,73742,255.6,60.63
368,73743,257.4,60.48
368,73744,259.2,60.35
368,73745,261.0,60.25
368,73746,262.8,60.16
368,73747,264.6,60.09
368,73748,266.4,60.04
368,73749,268.2,60.01
368,73750,270.0,60.0
368,73751,271.8,60.01
368,73752,273.6,60.04
368,73753,275.4,60.09
368,73754,277.2,60.16
368,73755,279.0,60.25
368,73756,280.8,60.35
368,73757,282.6,60.48
368,73758,284.4,60.63
368,73759,286.2,60.79
368,73760,288.0,60.98
368,73761,289.8,61.18
368,73762,291.6,61.4
368,73763,293.4,61.64
