scan_index,step,angle_deg,distance_cm
0,25,2.2,8.7
0,50,4.39,8.99
0,75,6.59,8.11
0,100,8.79,8.09
0,125,10.99,10.19
0,150,13.18,10.17
0,175,15.38,8.39
0,200,17.58,12.26
0,225,19.78,11.37
0,250,21.97,10.48
0,275,24.17,10.48
0,300,26.37,9.59
0,325,28.56,9.59
0,350,30.76,9.59
0,375,32.96,9.57
0,400,35.16,10.46
0,425,37.35,10.5
0,450,39.55,11.37
0,475,41.75,8.4
0,500,43.95,9.3
0,525,46.14,10.19
0,550,48.34,8.11
0,575,50.54,8.09
0,600,52.73,8.11
0,625,54.93,8.11
0,650,57.13,8.71
0,675,59.33,6.91
0,700,61.52,6.91
0,725,63.72,8.7
0,750,65.92,8.11
0,775,68.12,8.11
0,800,70.31,11.97
0,825,72.51,10.19
0,850,74.71,8.39
0,875,76.9,8.4
0,900,79.1,11.37
0,925,81.3,11.35
0,950,83.5,10.48
0,975,85.69,9.59
0,1000,87.89,9.59
0,1025,90.09,9.59
0,1050,92.29,9.59
0,1075,94.48,10.48
0,1100,96.68,10.5
0,1125,98.88,11.37
0,1150,101.07,8.4
0,1175,103.27,8.4
0,1200,105.47,9.3
0,1225,107.67,11.08
0,1250,109.86,8.11
0,1275,112.06,8.11
0,1300,114.26,9.0
0,1325,116.46,7.79
0,1350,118.65,6.91
0,1375,120.85,6.89
0,1400,123.05,6.89
0,1425,125.24,7.8
0,1450,127.44,8.99
0,1475,129.64,8.09
0,1500,131.84,8.11
0,1525,134.03,8.11
0,1550,136.23,10.19
0,1575,138.43,9.3
0,1600,140.63,9.3
0,1625,142.82,9.3
0,1650,145.02,17.29
0,1675,147.22,12.28
0,1700,149.41,11.37
0,1725,151.61,11.37
0,1750,153.81,11.37
0,1775,156.01,11.35
0,1800,158.2,9.28
0,1825,160.4,8.39
0,1850,162.6,9.3
0,1875,164.79,10.19
0,1900,166.99,11.08
0,1925,169.19,8.11
0,1950,171.39,8.99
0,1975,173.58,8.99
0,2000,175.78,7.82
0,2025,177.98,7.8
0,2050,180.18,6.91
0,2075,182.37,6.91
0,2100,184.57,6.91
0,2125,186.77,6.91
0,2150,188.96,7.8
0,2175,191.16,9.0
0,2200,193.36,8.09
0,2225,195.56,8.11
0,2250,197.75,11.08
0,2275,199.95,9.3
0,2300,202.15,8.4
0,2325,204.35,11.37
0,2350,206.54,11.37
0,2375,208.74,10.48
0,2400,210.94,10.5
0,2425,213.13,10.48
0,2450,215.33,10.5
0,2475,217.53,10.48
0,2500,219.73,10.48
0,2525,221.92,11.37
0,2550,224.12,8.4
0,2575,226.32,8.4
0,2600,228.52,9.3
0,2625,230.71,9.3
0,2650,232.91,8.08
0,2675,235.11,8.11
0,2700,237.3,8.09
0,2725,239.5,8.11
0,2750,241.7,8.11
0,2775,243.9,8.11
0,2800,246.09,8.09
0,2825,248.29,8.11
0,2850,250.49,8.11
0,2875,252.69,11.94
0,2900,254.88,9.3
0,2925,257.08,8.4
0,2950,259.28,8.4
0,2975,261.47,10.48
0,3000,263.67,10.48
0,3025,265.87,9.57
0,3050,268.07,8.7
0,3075,270.26,8.7
