scan_index,step,angle_deg,distance_cm
0,25,2.2,7.51
0,50,4.39,8.4
0,75,6.59,7.79
0,100,8.79,7.79
0,125,10.99,9.88
0,150,13.18,8.11
0,175,15.38,8.99
0,200,17.58,9.28
0,225,19.78,11.37
0,250,21.97,9.59
0,275,24.17,8.7
0,300,26.37,11.68
0,325,28.56,10.75
0,350,30.76,9.88
0,375,32.96,15.02
0,400,35.16,16.33
0,425,37.35,16.34
0,450,39.55,16.33
0,475,41.75,16.33
0,500,43.95,16.34
0,525,46.14,16.22
0,550,48.34,17.61
0,575,50.54,17.61
0,600,52.73,17.61
0,625,54.93,16.34
0,650,57.13,9.88
0,675,59.33,9.9
0,700,61.52,10.79
0,725,63.72,8.7
0,750,65.92,9.59
0,775,68.12,11.35
0,800,70.31,8.39
0,825,72.51,11.08
0,850,74.71,8.09
0,875,76.9,8.99
0,900,79.1,7.82
0,925,81.3,7.8
0,950,83.5,8.4
0,975,85.69,7.51
0,1000,87.89,7.51
0,1025,90.09,7.49
0,1050,92.29,7.49
0,1075,94.48,7.49
0,1100,96.68,8.68
0,1125,98.88,7.79
0,1150,101.07,7.82
0,1175,103.27,9.9
0,1200,105.47,9.0
0,1225,107.67,11.95
0,1250,109.86,10.19
0,1275,112.06,16.33
0,1300,114.26,10.5
0,1325,116.46,9.59
0,1350,118.65,8.7
0,1375,120.85,8.7
0,1400,123.05,11.66
0,1425,125.24,11.68
0,1450,127.44,10.79
0,1475,129.64,10.77
0,1500,131.84,10.79
0,1525,134.03,10.79
0,1550,136.23,10.77
0,1575,138.43,10.79
0,1600,140.63,11.68
0,1625,142.82,8.71
0,1650,145.02,8.7
0,1675,147.22,8.7
0,1700,149.41,9.59
0,1725,151.61,10.48
0,1750,153.81,17.61
0,1775,156.01,17.61
0,1800,158.2,8.99
0,1825,160.4,9.9
0,1850,162.6,10.77
0,1875,164.79,7.8
0,1900,166.99,9.6
0,1925,169.19,8.4
0,1950,171.39,8.4
0,1975,173.58,8.11
0,2000,175.78,8.09
0,2025,177.98,8.11
0,2050,180.18,8.99
0,2075,182.37,8.11
0,2100,184.57,8.09
0,2125,186.77,8.09
0,2150,188.96,8.4
0,2175,191.16,8.4
0,2200,193.36,10.46
0,2225,195.56,8.7
0,2250,197.75,7.8
0,2275,199.95,10.77
0,2300,202.15,9.88
0,2325,204.35,9.88
0,2350,206.54,15.02
0,2375,208.74,15.04
0,2400,210.94,17.61
0,2425,213.13,17.61
0,2450,215.33,10.48
0,2475,217.53,9.59
0,2500,219.73,9.59
0,2525,221.92,9.59
0,2550,224.12,9.57
0,2575,226.32,8.7
0,2600,228.52,8.7
0,2625,230.71,9.59
0,2650,232.91,9.59
0,2675,235.11,9.57
0,2700,237.3,10.48
0,2725,239.5,11.35
0,2750,241.7,17.61
0,2775,243.9,16.33
0,2800,246.09,15.04
0,2825,248.29,9.9
0,2850,250.49,9.9
0,2875,252.69,11.68
0,2900,254.88,8.71
0,2925,257.08,9.59
0,2950,259.28,12.25
0,2975,261.47,8.39
0,3000,263.67,9.88
0,3025,265.87,8.11
0,3050,268.07,8.11
0,3075,270.26,8.99
0,3100,272.46,8.11
0,3125,274.66,8.09
0,3150,276.86,8.11
0,3175,279.05,8.4
0,3200,281.25,8.39
0,3225,283.45,9.59
0,3250,285.64,7.82
0,3275,287.84,10.77
0,3300,290.04,9.0
0,3325,292.24,15.02
0,3350,294.43,17.63
0,3375,296.63,11.37
0,3400,298.83,9.59
0,3425,301.03,8.71
0,3450,303.22,8.68
0,3475,305.42,12.57
0,3500,307.62,11.66
0,3525,309.81,10.77
0,3550,312.01,10.79
0,3575,314.21,10.77
0,3600,316.41,9.9
0,3625,318.6,9.88
0,3650,320.8,9.9
0,3675,323.0,10.77
0,3700,325.2,10.79
0,3725,327.39,11.66
0,3750,329.59,11.66
0,3775,331.79,8.7
0,3800,333.98,8.71
0,3825,336.18,9.59
0,3850,338.38,10.48
0,3875,340.58,12.25
0,3900,342.77,9.3
0,3925,344.97,11.08
0,3950,347.17,8.09
0,3975,349.37,7.79
0,4000,351.56,7.8
0,4025,353.76,7.8
0,4050,355.96,8.4
0,4075,358.15,7.51
1,4100,0.35,7.49
1,4125,2.55,8.4
1,4150,4.75,7.8
1,4175,6.94,7.8
1,4200,9.14,7.8
1,4225,11.34,9.0
1,4250,13.54,8.11
1,4275,15.73,11.06
1,4300,17.93,8.4
1,4325,20.13,10.48
1,4350,22.32,8.7
1,4375,24.52,8.71
1,4400,26.72,11.66
1,4425,28.92,10.79
1,4450,31.11,9.9
1,4475,33.31,15.02
1,4500,35.51,16.33
1,4525,37.71,16.31
1,4550,39.9,16.33
1,4575,42.1,16.34
1,4600,44.3,16.34
1,4625,46.49,16.34
1,4650,48.69,17.6
1,4675,50.89,17.61
1,4700,53.09,17.61
1,4725,55.28,15.02
1,4750,57.48,9.88
1,4775,59.68,9.88
1,4800,61.88,11.68
1,4825,64.07,8.71
1,4850,66.27,9.57
1,4875,68.47,11.37
1,4900,70.66,9.3
1,4925,72.86,11.06
1,4950,75.06,8.09
1,4975,77.26,9.88
1,5000,79.45,7.8
1,5025,81.65,8.68
1,5050,83.85,8.39
1,5075,86.04,7.51
1,5100,88.24,7.51
1,5125,90.44,7.51
1,5150,92.64,7.51
1,5175,94.83,7.51
1,5200,97.03,8.68
1,5225,99.23,7.79
1,5250,101.43,7.82
1,5275,103.62,9.9
1,5300,105.82,9.0
1,5325,108.02,11.08
1,5350,110.21,9.28
1,5375,112.41,16.33
1,5400,114.61,10.48
1,5425,116.81,9.59
1,5450,119.0,8.7
1,5475,121.2,8.68
1,5500,123.4,11.66
1,5525,125.6,11.66
1,5550,127.79,10.77
1,5575,129.99,10.79
1,5600,132.19,10.75
1,5625,134.38,10.77
1,5650,136.58,10.79
1,5675,138.78,11.66
1,5700,140.98,11.66
1,5725,143.17,8.68
1,5750,145.37,8.68
1,5775,147.57,8.71
1,5800,149.77,9.57
1,5825,151.96,10.48
1,5850,154.16,17.61
1,5875,156.36,17.61
1,5900,158.55,8.99
1,5925,160.75,9.88
1,5950,162.95,8.7
1,5975,165.15,8.68
1,6000,167.34,9.59
1,6025,169.54,8.39
1,6050,171.74,9.28
1,6075,173.94,8.09
1,6100,176.13,8.11
